p_id,file_name,station_name,latitude,longitude,elevation,hardware,software,lat_cal,long_cal,z_GEE
74,IMELBOUR121,Caroline Springs,37.741,144.727,82,Ambient Weather WS-1001-WiFi (Wireless),EasyWeatherV1.5.6,-37.7411,144.727,84
75,IMELBO27,HOME,37.753,144.756,67,Ambient Weather WS-2090 (Wireless),EasyWeatherV1.6.5,-37.753,144.756,68
76,IVCTTRUG2,Truganina,37.84,144.739,29,Other,EasyWeatherV1.6.5,-37.8399,144.739,26
77,IMELBO3235,Rods Home,37.86,144.721,4,Ambient Weather WS-2000,EasyWeatherV1.6.4,-37.8599,144.721,16
78,IVICTORI1105,"Hoppers Crossing, Derrimut Estate",37.859,144.696,,Davis Vantage Pro2 Plus (Wireless),Cumulus v4.4.1,-37.8589,144.696,28
79,IMELBOUR668,TaylorsWard - Taylors Lakes,37.691,144.77,117,Other,XC0422 V2.4.7,-37.6908,144.77,108
80,IMELBO3069,Honeysuckle Ridge,37.698,144.749,36,Other,,-37.6981,144.749,120
81,IMELBOUR128,Hillside,37.681,144.739,161,Other,EasyWeatherV1.6.9,-37.6811,144.739,158
82,IMELBOUR290,Hillside,37.684,144.732,73,AcuRite Pro Weather Center,weewx-4.10.2,-37.6842,144.732,148
83,IVCTMELB4,1001,37.67,144.85,130,Other,EasyWeatherV1.6.4,-37.6704,144.85,117
84,IMELBO865,BAT RADAR,37.696,144.881,104,Other,EasyWeatherV1.6.9,-37.6962,144.881,102
85,IMELBO1143,Digitalization,37.688,144.893,34,Other,EasyWeatherV1.6.4,-37.688,144.893,107
86,IMELBO3636,Pengana Ave Glenroy,37.71,144.905,27,Other,,-37.71,144.905,87
87,IVCTSTRA3,Oak Park,37.724,114.915,43,Ambient Weather WS-1002-WiFi (Wireless),EasyWeatherV1.6.9,-37.7228,144.914,40
88,IMELBO4076,MillyMilton,37.713,144.922,27,Other,EasyWeatherPro_V5.1.5,-37.7131,144.922,84
89,IMELBO2888,Pascoe Vale,37.717,144.935,84,Other,EasyWeatherV1.4.6,-37.7172,144.935,77
90,IMELBO1062,Vicfamstation,37.702,144.938,99,Other,EasyWeatherV1.6.9,-37.702,144.938,91
91,IMELBO1139,Tristan Court,37.713,144.951,78,Other,EasyWeatherV1.6.9,-37.7131,144.951,73
92,IMELBO3580,CoNo Station,37.723,144.955,23,Other,GW1100C_V2.3.4,-37.723,144.955,68
93,IMELBO971,RD weather station,37.718,144.976,66,Other,EasyWeatherV1.6.4,-37.718,144.976,72
94,IMELBO244,Danger weather,37.68,144.907,78,Other,EasyWeatherV1.6.9,-37.68,144.907,81
95,IMELBO1034,ROLLEASE ACMEDA,37.681,144.95,127,Other,EasyWeatherV1.4.7,-37.6811,144.95,120
96,IMELBO1950,Dallas,37.665,144.933,45,Ambient Weather WS-2000,EasyWeatherV1.6.5,-37.665,144.933,143
97,IMELBO3326,Holeman,37.699,145.008,103,Other,,-37.6989,145.008,100
98,IMELBO1591,Holman Aspect WiFi Analyst,37.711,145.005,24,Other,,-37.7109,145.005,87
99,IMELBO3659,Reservoir-Z,37.714,145.015,100,Other,EasyWeatherV1.5.2,-37.714,145.015,89
